Sector,Year,AvgReturn,AvgVolatility,SectorBenchmark
Diversified Financials,2024,1.6095073111355305,255.26274490356445,1.6095073223114014
Metals & Mining,2024,0.7084213495254517,123.09174346923828,0.7084213495254517
Motor Vehicles & Parts,2024,0.509193035463492,118.70989735921223,0.5091930627822876
Entertainment,2024,0.3871571123600006,64.69227600097656,0.3871571123600006
Airlines,2024,0.32558101788163185,108.0158576965332,0.32558101415634155
Financial Services,2024,0.29598769545555115,72.76331329345703,0.29598769545555115
Pipelines,2024,0.27711395422617596,54.25781758626302,0.2771139442920685
Commercial Banks,2024,0.23523450110639846,111.88417271205357,0.23523449897766113
Internet Services And Retailing,2024,0.21024274453520775,71.10404586791992,0.21024273335933685
Food & Drug Stores,2024,0.18058878183364868,55.89399337768555,0.18058878183364868
Information Technology Services,2024,0.16986174881458282,52.36564254760742,0.16986174881458282
Network And Other Communications Equipment,2024,0.16559916734695435,39.05730056762695,0.16559916734695435
Insurance,2024,0.11774852755479515,71.57685995101929,0.11774852871894836
Energy,2024,0.10210040211677551,70.63166046142578,0.10210040211677551
General Merchandisers,2024,0.06962479650974274,77.2429428100586,0.06962479650974274
Wholesalers,2024,0.06337057550748189,68.15087636311848,0.06337057799100876
Computer Software,2024,0.03688554745167494,60.27574348449707,0.03688554838299751
Construction And Farm Machinery,2024,0.03615741804242134,86.91655349731445,0.03615741804242134
Household And Personal Products,2024,0.03558550402522087,46.285545349121094,0.03558550402522087
Specialty Retailers,2024,0.032020063896197826,43.609153509140015,0.03202006220817566
"Computers, Office Equipment",2024,0.016579747200012207,70.87527084350586,0.016579752787947655
"Aerospace, Defense",2024,0.005824588239192963,59.675490061442055,0.005824585445225239
"Mail, Package, And Freight Delivery",2024,-0.024966400116682053,50.255401611328125,-0.024966396391391754
Industrial Machinery,2024,-0.0327124260365963,65.93889617919922,-0.0327124260365963
Telecommunications,2024,-0.06562341004610062,70.42063331604004,-0.06562341004610062
Apparel,2024,-0.0895913690328598,58.22237777709961,-0.0895913690328598
Beverage,2024,-0.09937849640846252,12.632180213928223,-0.09937849640846252
Pharmaceutical,2024,-0.1294736610725522,56.45986080169678,-0.12947365641593933
Petroleum Refining,2024,-0.14078795462846755,55.81941452026367,-0.14078795909881592
Semiconductor And Electronics,2024,-0.14393998682498932,106.18933868408203,-0.14393998682498932
Food Consumer Products,2024,-0.19163444638252258,42.9840202331543,-0.19163444638252258
"Mining, Crude-Oil Production",2024,-0.23502640426158905,58.37190246582031,-0.23502640426158905
Health Care,2024,-0.26795359949270886,91.04276339213054,-0.2679536044597626
Health Care: Medical Facilities,2024,-0.4348083436489105,61.93931579589844,-0.4348083436489105
Chemicals,2024,-0.48968082666397095,63.41368103027344,-0.48968082666397095
Food Production,2024,-1.7353720472504695,181.87538274129233,-1.7353720664978027
