Ticker,Company,Industry,AvgReturn,AvgVolatility,TradingDays
CHS.V,Chs,Food Production,23.333333587646486,32.56238708496094,5
ORCL,Oracle,Computer Software,2.341744324937463,2.3855617523193358,5
VLO,Valero Energy,Petroleum Refining,1.8451033383607864,1.6963797092437745,5
ADM,Archer Daniels Midland,Food Production,1.6011872798204423,1.6954322099685668,5
MPC,Marathon Petroleum,Petroleum Refining,1.5569954678416251,1.6654340982437135,5
PSX,Phillips 66,Petroleum Refining,1.2740665033459664,1.237372136116028,5
COP,Conocophillips,"Mining, Crude-Oil Production",1.221704164147377,1.278403902053833,5
FMCC,Freddie Mac,Diversified Financials,1.1018605709075928,2.840152883529663,5
FNMA,Fannie Mae,Diversified Financials,0.8784677028656006,3.608637237548828,5
GOOGL,Alphabet,Internet Services And Retailing,0.8458548426628113,1.8610958099365233,5
TSN,Tyson Foods,Food Production,0.7501544564962387,1.5705656290054322,5
CVX,Chevron,Petroleum Refining,0.7475286230444909,1.2338351964950562,5
ALL,Allstate,Insurance,0.6682092100381851,0.921337890625,5
PGR,Progressive,Insurance,0.6470297157764435,1.0570266723632813,5
CVS,Cvs,Health Care,0.6171886324882507,1.1026593923568726,5
CVS,Cvs,Health Care: Pharmacy and Other Services,0.6171886324882507,1.1026593923568726,5
GM,General Motors,Motor Vehicles & Parts,0.6160704329609871,1.5354515314102173,5
UNH,Unitedhealth Group,Health Care,0.5963882699608802,1.1927276134490967,5
CI,Cigna,Health Care,0.5938097596168518,1.2623635530471802,5
AIG,Aig,Insurance,0.59088738784194,1.18319730758667,5
