Sector,Year,AvgReturn,AvgVolatility,SectorBenchmark
Industrial Machinery,2024,0.263102438300848,83.59157752990723,0.263102438300848
Health Care: Medical Facilities,2024,0.17267012502998114,67.0890121459961,0.17267012502998114
"Computers, Office Equipment",2024,0.17092227097600698,121.94541072845459,0.17092227132525295
Pharmaceuticals,2024,0.15246505290269852,74.16856384277344,0.15246505290269852
Computer Software,2024,0.13993098912760615,72.28286266326904,0.13993099331855774
Information Technology Services,2024,0.13918514549732208,64.25052833557129,0.13918514549732208
"Insurance: Life, Health (Stock)",2024,0.13816620657841364,75.61034901936848,0.13816620657841364
Diversified Financials,2024,0.13728436909150332,157.31174421310425,0.137284368975088
Energy,2024,0.13670537760481238,76.54180145263672,0.13670537760481238
General Merchandisers,2024,0.13575728485981622,47.696168687608505,0.1357572873433431
Specialty Retailers: Apparel,2024,0.13190720727046332,68.3839480082194,0.13190720727046332
Airlines,2024,0.12671985179185868,99.22298278808594,0.12671985179185868
,2024,0.11764503023587167,105.26262452867296,0.0
Insurance,2024,0.11257736762054264,51.724391555786134,0.09490147940814495
Financial Services,2024,0.09479286707937717,78.56741142272949,0.09479286707937717
Commercial Banks,2024,0.08623235259205103,64.87722671508789,0.08510242849588394
Specialty Retailers,2024,0.07923027660165514,54.77101462227957,0.06788096789802824
Pipelines,2024,0.078751590827273,44.868104722764755,0.07875159072379272
Household And Personal Products,2024,0.07817794010043144,43.60289192199707,0.07817794010043144
Wholesalers: Electronics and Office Equipment,2024,0.07582030693689983,89.3995590209961,0.07582030693689983
Health Care: Insurance and Managed Care,2024,0.07080301145712535,92.08073170979817,0.07080301145712535
Internet Services And Retailing,2024,0.06566035151481628,64.27648468017578,0.06566035151481628
Insurance: Property and Casualty (Stock),2024,0.06033281103009358,77.06821314493816,0.06033281103009358
Pharmaceutical,2024,0.058090818544419914,54.11799122737004,0.06995630049361633
Health Care,2024,0.056494893299208745,66.64424090915256,0.054636316994826
Wholesalers: Health Care,2024,0.05301572382450104,83.22094853719075,0.05301572382450104
Motor Vehicles & Parts,2024,0.052861031610518694,118.03520520528157,0.05286103207617998
Telecommunications,2024,0.05084266182250129,63.27780503493089,0.050842661124009356
Petroleum Refining,2024,0.04224968422204256,70.0416202545166,0.042249683290719986
Entertainment,2024,0.0416099950671196,75.36048889160156,0.0416099950671196
Wholesalers,2024,0.038815034988025826,48.628552500406904,0.04048432111740112
"Aerospace, Defense",2024,0.02154441860814889,63.18888473510742,0.02154441666789353
Specialty Retailers: Other,2024,0.015109687189882,21.9695561726888,0.015109687189882
Food & Drug Stores,2024,0.014945782721042633,52.231252670288086,0.014945780858397484
Food Consumer Products,2024,0.013980573043227196,49.56332778930664,0.013980573043227196
"Mail, Package, And Freight Delivery",2024,0.011924868915230036,81.63953590393066,0.011924868216738105
Network And Other Communications Equipment,2024,0.0,0.0,0.0
Construction And Farm Machinery,2024,0.0,0.0,0.0
Beverage,2024,0.0,0.0,0.0
Chemicals,2024,0.0,0.0,0.0
"Mining, Crude-Oil Production",2024,-0.02230851911008358,58.51860809326172,-0.02230851911008358
Metals & Mining,2024,-0.05077453935518861,122.74266052246094,-0.05077453935518861
Apparel,2024,-0.06120184436440468,97.23552513122559,-0.06120184436440468
Health Care: Pharmacy and Other Services,2024,-0.08307148019472758,118.70862833658855,-0.08307148019472758
Food Production,2024,-0.1373175825768461,366.80620193481445,-0.13731757272034883
Semiconductor And Electronics,2024,-0.2010623961687088,113.14580078125,-0.2010623961687088
