SectorName,SectorCode,AvgVolatility,AvgReturn,Resilience,AvgRank,CompanyCount
Food Production,FOOD,366.80620193481445,-0.1373175825768461,0.0,1.75,3
Diversified Financials,DIVE,157.31174421310425,0.13728436909150332,0.0,2.125,4
Metals & Mining,META,122.74266052246094,-0.05077453935518861,0.0,1.0,1
"Computers, Office Equipment",COMP,121.94541072845459,0.17092227097600698,0.0,1.375,2
Health Care: Pharmacy and Other Services,,118.70862833658855,-0.08307148019472758,0.0,1.0,1
Motor Vehicles & Parts,MOTO,118.03520520528157,0.052861031610518694,0.0,1.75,3
Semiconductor And Electronics,SEMI,113.14580078125,-0.2010623961687088,0.0,1.0,2
Airlines,AIRL,99.22298278808594,0.12671985179185868,0.0,1.0,2
Apparel,APPA,97.23552513122559,-0.06120184436440468,0.0,1.0,1
Health Care: Insurance and Managed Care,,92.08073170979817,0.07080301145712535,0.0,1.0,1
Wholesalers: Electronics and Office Equipment,WHOL,89.3995590209961,0.07582030693689983,0.0,1.0,1
Industrial Machinery,INDU,83.59157752990723,0.263102438300848,0.0,1.0,1
Wholesalers: Health Care,,83.22094853719075,0.05301572382450104,0.0,1.0,1
"Mail, Package, And Freight Delivery",MAIL,81.63953590393066,0.011924868915230036,0.0,1.375,2
Financial Services,FINA,78.56741142272949,0.09479286707937717,0.0,1.0,1
Insurance: Property and Casualty (Stock),INSU,77.06821314493816,0.06033281103009358,0.0,1.0,1
Energy,ENER,76.54180145263672,0.13670537760481238,0.0,1.0,1
"Insurance: Life, Health (Stock)",INSU,75.61034901936848,0.13816620657841364,0.0,1.0,1
Entertainment,ENTE,75.36048889160156,0.0416099950671196,0.0,1.0,1
Pharmaceuticals,PHAR,74.16856384277344,0.15246505290269852,0.0,1.0,1
Computer Software,COMP,72.28286266326904,0.13993098912760615,0.0,1.375,2
Petroleum Refining,PETR,70.0416202545166,0.04224968422204256,0.0,2.5,5
Specialty Retailers: Apparel,SPEC,68.3839480082194,0.13190720727046332,0.0,1.0,1
Health Care: Medical Facilities,HEAL,67.0890121459961,0.17267012502998114,0.0,1.0,1
Health Care,HEAL,66.64424090915256,0.056494893299208745,0.0,2.388888888888889,6
Commercial Banks,COMM,64.87722671508789,0.08623235259205103,0.0,2.8,7
Internet Services And Retailing,INTE,64.27648468017578,0.06566035151481628,0.0,1.0,2
Information Technology Services,INFO,64.25052833557129,0.13918514549732208,0.0,1.0,1
Telecommunications,TELE,63.27780503493089,0.05084266182250129,0.0,1.6923076923076923,4
"Aerospace, Defense",AERO,63.18888473510742,0.02154441860814889,0.0,1.75,3
"Mining, Crude-Oil Production",MINI,58.51860809326172,-0.02230851911008358,0.0,1.0,1
Specialty Retailers,SPEC,54.77101462227957,0.07923027660165514,0.0,1.2857142857142858,4
Pharmaceutical,PHAR,54.11799122737004,0.058090818544419914,0.0,2.1538461538461537,4
Food & Drug Stores,FOOD,52.231252670288086,0.014945782721042633,0.0,1.375,2
Insurance,INSU,51.724391555786134,0.11257736762054264,0.0,2.25,8
Food Consumer Products,FOOD,49.56332778930664,0.013980573043227196,0.0,1.0,1
Wholesalers,WHOL,48.628552500406904,0.038815034988025826,0.0,1.8666666666666667,6
General Merchandisers,GENE,47.696168687608505,0.13575728485981622,0.0,1.3333333333333333,3
Pipelines,PIPE,44.868104722764755,0.078751590827273,0.0,1.3333333333333333,3
Household And Personal Products,HOUS,43.60289192199707,0.07817794010043144,0.0,1.0,1
Specialty Retailers: Other,SPEC,21.9695561726888,0.015109687189882,0.0,1.0,1
Network And Other Communications Equipment,NETW,0.0,0.0,0.0,1.0,1
Construction And Farm Machinery,CONS,0.0,0.0,0.0,1.0,2
Chemicals,CHEM,0.0,0.0,0.0,1.0,1
Beverage,BEVE,0.0,0.0,0.0,1.0,1
