ticker,company,sector_name,sector_code,year,quarter,avg_return,avg_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
1959.T,Kraft Foods Inc.,,,2008,1,-0.01593321829338733,2.6914442081978254,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2008,2,0.5916325603083751,2.2414485941738347,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2008,3,-0.24869347223094307,2.355322329198896,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2008,4,0.40434872558568097,4.481566519454387,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2009,1,-0.21831800766634896,2.228295992493139,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2009,2,0.10566247554798969,1.7816932064240008,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2009,3,-0.2417881494918518,1.342502303278288,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2009,4,-0.03348187509122383,1.295202386214654,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2010,1,0.039193625987673834,1.1078884244851532,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
1959.T,Kraft Foods Inc.,,,2010,2,-0.20936058372399027,1.3341276919907599,-0.0019122217964549547,-0.006457500226543581,-0.022551708243751533,0.0,0.0,0,-0.09657864647303162
