date,usd_inr_rate
1996-01-02,35.21
1996-01-03,35.22
1996-01-04,35.32
1996-01-05,35.44
1996-01-08,35.85
1996-01-09,35.87
1996-01-10,35.8
1996-01-11,35.81
1996-01-12,35.78
1996-01-16,35.91
1996-01-17,35.86
1996-01-18,35.895
1996-01-19,35.91
1996-01-22,35.85
1996-01-23,35.76
1996-01-24,35.84
1996-01-25,36.06
1996-01-26,36.07
1996-01-29,35.99
1996-01-30,36.14
1996-01-31,36.46
1996-02-01,36.61
1996-02-02,36.8
1996-02-05,38.05
1996-02-06,37.75
1996-02-07,37.3
1996-02-08,37.2
1996-02-09,36.95
1996-02-12,36.97
1996-02-13,36.76
1996-02-14,36.52
1996-02-15,36.53
1996-02-16,36.55
1996-02-20,36.56
1996-02-21,36.63
1996-02-22,36.8
1996-02-23,36.28
1996-02-26,35.92
1996-02-27,35.57
1996-02-28,35.29
1996-02-29,34.85
1996-03-01,34.6
1996-03-04,34.55
1996-03-05,34.3
1996-03-06,34.12
1996-03-07,34.25
1996-03-08,34.2
1996-03-11,34.25
1996-03-12,34.13
1996-03-13,34.21
1996-03-14,34.15
1996-03-15,34.48
1996-03-18,35.2
1996-03-19,35.35
1996-03-20,35.5
1996-03-21,35.0
1996-03-22,34.6
1996-03-25,34.1
1996-03-26,34.1
1996-03-27,34.55
1996-03-28,34.2
1996-03-29,34.35
1996-04-01,34.25
1996-04-02,34.35
1996-04-03,34.2
1996-04-04,34.5
1996-04-05,34.2
1996-04-08,34.15
1996-04-09,34.15
1996-04-10,34.25
1996-04-11,34.3
1996-04-12,34.25
1996-04-15,34.5
1996-04-16,34.4
1996-04-17,34.25
1996-04-18,34.3
1996-04-19,34.25
1996-04-22,34.2
1996-04-23,34.3
1996-04-24,34.25
1996-04-25,34.35
1996-04-26,34.35
1996-04-29,34.28
1996-04-30,35.0
1996-05-01,34.8
1996-05-02,34.75
1996-05-03,34.65
1996-05-06,34.65
1996-05-07,34.45
1996-05-08,34.7
1996-05-09,35.2
1996-05-10,35.35
1996-05-13,35.4
1996-05-14,35.0
1996-05-15,34.9
1996-05-16,35.0
1996-05-17,35.1
1996-05-20,35.1
1996-05-21,35.2
1996-05-22,35.05
1996-05-23,35.1
1996-05-24,35.25
1996-05-28,35.18
1996-05-29,35.25
1996-05-30,35.24
1996-05-31,35.23
1996-06-03,35.1
1996-06-04,35.1
1996-06-05,35.06
1996-06-06,35.0
1996-06-07,35.0
1996-06-10,35.0
1996-06-11,35.05
1996-06-12,35.05
1996-06-13,35.1
1996-06-14,35.1
1996-06-17,35.1
1996-06-18,35.15
1996-06-19,35.1
1996-06-20,35.1
1996-06-21,35.05
1996-06-24,35.1
1996-06-25,35.1
1996-06-26,35.1
1996-06-27,35.2
1996-06-28,35.43
1996-07-01,35.1
1996-07-02,35.15
1996-07-03,35.15
1996-07-05,35.2
1996-07-08,35.45
1996-07-09,35.4
1996-07-10,35.45
1996-07-11,35.6
1996-07-12,35.6
1996-07-15,35.7
1996-07-16,35.95
1996-07-17,36.0
1996-07-18,35.83
1996-07-19,35.8
1996-07-22,35.75
1996-07-23,35.8
1996-07-24,35.75
1996-07-25,35.85
1996-07-26,35.8
1996-07-29,35.8
1996-07-30,36.85
1996-07-31,35.7
1996-08-01,35.65
1996-08-02,35.55
1996-08-05,35.8
1996-08-06,35.8
1996-08-07,35.8
1996-08-08,35.95
1996-08-09,35.9
1996-08-12,35.8
1996-08-13,35.8
1996-08-14,35.8
1996-08-15,35.8
1996-08-16,35.8
1996-08-19,35.8
1996-08-20,35.8
1996-08-21,35.7
1996-08-22,35.8
1996-08-23,35.8
1996-08-26,35.85
1996-08-27,35.85
1996-08-28,35.85
1996-08-29,35.85
1996-08-30,35.85
1996-09-03,35.75
1996-09-04,35.95
1996-09-05,35.95
1996-09-06,35.85
1996-09-09,35.85
1996-09-10,35.85
1996-09-11,35.85
1996-09-12,35.95
1996-09-13,35.85
1996-09-16,35.9
1996-09-17,35.9
1996-09-18,35.9
1996-09-19,35.85
1996-09-20,35.9
1996-09-23,35.85
1996-09-24,35.85
1996-09-25,35.85
1996-09-26,35.85
1996-09-27,35.85
1996-09-30,35.85
1996-10-01,35.85
1996-10-02,35.85
1996-10-03,35.8
1996-10-04,35.8
1996-10-07,35.85
1996-10-08,35.85
1996-10-09,35.85
1996-10-10,35.85
1996-10-11,35.7
1996-10-15,35.75
1996-10-16,35.75
1996-10-17,35.8
1996-10-18,35.73
1996-10-21,35.85
1996-10-22,35.85
1996-10-23,35.65
1996-10-24,35.75
1996-10-25,35.75
1996-10-28,35.8
1996-10-29,35.85
1996-10-30,35.85
1996-10-31,35.9
1996-11-01,35.84
1996-11-04,35.75
1996-11-05,35.74
1996-11-06,35.85
1996-11-07,35.85
1996-11-08,36.12
1996-11-12,35.9
1996-11-13,35.9
1996-11-14,36.0
1996-11-15,35.95
1996-11-18,35.85
1996-11-19,35.757
1996-11-20,35.7
1996-11-21,35.75
1996-11-22,35.75
1996-11-25,35.85
1996-11-26,35.9
1996-11-27,35.74
1996-11-29,35.747
1996-12-02,35.8
1996-12-03,35.75
1996-12-04,35.83
1996-12-05,35.87
1996-12-06,35.9
1996-12-09,35.922
1996-12-10,35.91
1996-12-11,35.9
1996-12-12,35.9
1996-12-13,35.9
1996-12-16,35.89
1996-12-17,35.85
1996-12-18,35.95
1996-12-19,35.92
1996-12-20,35.89
1996-12-23,35.88
1996-12-24,35.85
1996-12-26,35.85
1996-12-27,35.85
1996-12-30,35.95
1996-12-31,35.95
