Sector,Year,AvgReturn,AvgVolatility,SectorBenchmark
Diversified Financials,2025,0.4025990792683193,197.09042358398438,0.21911896552358354
Insurance: Property and Casualty (Stock),2025,0.1930696735424655,83.16004725864956,0.1930696735424655
Pharmaceutical,2025,0.17467418313026428,96.90423329671223,0.17467418313026428
Industrial and Farm Equipment,2025,0.16654408474763235,110.38417307535808,0.16654408474763235
Securities,2025,0.15586026012897491,117.0725835164388,0.15586026012897491
Wholesalers,2025,0.1342068009544164,104.2613296508789,0.13420679668585458
Food,2025,0.1254747249186039,112.55343373616536,0.1254747249186039
Information Technology Services,2025,0.12466353178024292,86.80416107177734,0.12466353178024292
,2025,0.10978928715077721,138.1457959303619,0.0
Health Care,2025,0.09874910985430081,162.76898320515951,0.019008671243985493
Wholesalers: Health Care,2025,0.09717163071036339,41.88191604614258,0.09717163071036339
Aerospace & Defense,2025,0.09622193021433693,43.310053144182476,0.09622193021433693
Petroleum Refining,2025,0.09616181911791072,88.40590847239775,0.08055545258171418
Insurance: Property and Casualty (Mutual),2025,0.08214874813954036,107.26490529378255,0.08214874813954036
Commercial Banks,2025,0.08004850869377454,61.626548767089844,0.08004851154983043
Specialty Retailers: Apparel,2025,0.07842848682776093,53.794020652770996,0.07842848682776093
"Insurance: Life, Health (Mutual)",2025,0.0765253271907568,80.52244567871094,0.0765253271907568
Internet Services and Retailing,2025,0.054968542522854276,91.43455166286893,0.06945866180790795
Food & Drug Stores,2025,0.04989440739154816,71.21414642333984,0.04989440739154816
Motor Vehicles & Parts,2025,0.0467668871084849,70.84274673461914,0.0467668871084849
General Merchandisers,2025,0.04261325237651666,47.56910069783529,0.04261325237651666
Telecommunications,2025,0.030573905947116706,80.23432042048528,0.03918331001813595
Entertainment,2025,0.02903338149189949,79.49704170227051,0.02903338149189949
Pharmaceuticals,2025,0.02865348214452917,52.06688620827415,0.028653483499180187
"Insurance: Life, Health (Stock)",2025,0.01492354475935413,89.63814336603338,0.01492354426194321
Specialty Retailers: Other,2025,0.009636643528938293,51.04755554199219,0.009636643528938293
Pipelines,2025,0.004103898795114623,59.09671190049913,0.004103899519476626
Computer Software,2025,0.0,0.0,0.0
Construction and Farm Machinery,2025,0.0,0.0,0.0
Wholesalers: Electronics and Office Equipment,2025,0.0,0.0,0.0
Health Care: Medical Facilities,2025,0.0,0.0,0.0
"Mail, Package and Freight Delivery",2025,0.0,0.0,0.0
Apparel,2025,0.0,0.0,0.0
Wholesalers: Food and Grocery,2025,0.0,0.0,0.0
Household and Personal Products,2025,0.0,0.0,0.0
Semiconductors and Other Electronic Components,2025,0.0,0.0,0.0
Health Care: Pharmacy and Other Services,2025,0.0,0.0,0.0
"Computers, Office Equipment",2025,0.0,0.0,0.0
Food Production,2025,0.0,0.0,0.0
Network and Other Communications Equipment,2025,0.0,0.0,0.0
"Mining, Crude-Oil Production",2025,0.0,0.0,0.0
Airlines,2025,0.0,0.0,0.0
Beverages,2025,0.0,0.0,0.0
Food Consumer Products,2025,-0.01193287642672658,68.00458526611328,-0.01193287642672658
Health Care: Insurance and Managed Care,2025,-0.06395833399146796,101.81602401733399,-0.07073333263397216
"Mail, Package, and Freight Delivery",2025,-0.11456597844759624,129.68396504720053,-0.09715740817288558
