rank,company,industry,revenue,employees,ticker
1,"Wal-Mart Stores, Inc.",General Merchandisers,351139.0,,WMT
2,Exxon Mobil Corporation,Petroleum Refining,347254.0,,XOM
4,Chevron Corporation,Petroleum Refining,200567.0,,CVX
5,ConocoPhillips,Petroleum Refining,172451.0,,COP
6,General Electric Company,Diversified Financials,168307.0,,GE
7,Ford Motor Company,Motor Vehicles & Parts,160126.0,,F
8,"Citigroup, Inc.",Commercial Banks,146777.0,,C
9,Bank of America Corporation,Commercial Banks,117017.0,,BAC
10,"American International Group,Inc.",Insurance: Property and Casualty (Stock),113194.0,,AIG
11,J.P. Morgan Chase & Co.,Commercial Banks,99973.0,,JPM
13,Verizon Communications Inc.,Telecommunications,93221.0,,VZ
15,International Business Machines Corporation,"Computers, Office Equipment",91424.0,,IBM
16,Valero Energy Corporation,Petroleum Refining,91051.0,,VLO
18,McKesson Corporation,Wholesalers: Health Care,88050.0,,MCK
19,"Cardinal Health, Inc.",Wholesalers: Health Care,81895.1,,CAH
20,Morgan Stanley,Securities,76688.0,,MS
21,UnitedHealth Group Incorporated,Health Care: Insurance and Managed Care,71542.0,,UNH
23,"Altria Group, Inc.",Tobacco,70324.0,,MO
24,"The Goldman Sachs Group, Inc.",Securities,69353.0,,TGS
26,The Kroger Company,Food & Drug Stores,66111.2,,KR
27,AT&T Inc.,Telecommunications,63055.0,,ATT.L
28,The Boeing Company,Aerospace & Defense,61530.0,,BA
32,Costco Wholesale Corporation,Specialty Retailers,60151.2,,COST
33,Target Corporation,General Merchandisers,59490.0,,TGT
36,Johnson & Johnson,Pharmaceuticals,53324.0,,JNJ
37,"MetLife, Inc.","Insurance: Life, Health (Stock)",53275.0,,MET
39,Pfizer Inc.,Pharmaceuticals,52415.0,,PFIZER.NS
40,The Dow Chemical Company,Chemicals,49124.0,,TDC
41,Wells Fargo & Company,Commercial Banks,47979.0,,WFC
43,"United Parcel Service, Inc.","Mail, Package, and Freight Delivery",47547.0,,UPS
45,"Lowe's Companies, Inc.",Specialty Retailers,46927.0,,LOW
47,"Lehman Brothers Holdings, Inc.",Securities,46709.0,,LEHNQ
48,Time Warner Inc.,Entertainment,44788.0,,T
49,Microsoft Corporation,Computer Software,44282.0,,MSFT
50,Freddie Mac,Diversified Financials,44002.0,,FMCC
52,"Motorola, Inc.",Network and Other Communications Equipment,43739.0,,MSI
55,"Caterpillar, Inc.",Industrial and Farm Equipment,41517.0,,CAT
57,Lockheed Martin Corporation,Aerospace & Defense,39620.0,,LMT
61,The Allstate Corporation,Insurance: Property and Casualty (Stock),35796.0,,ALL
62,Intel Corporation,Semiconductors and Other Electronic Components,35382.0,,INTC
63,"PepsiCo, Inc.",Food Consumer Products,35137.0,,PEP
64,The Walt Disney Company,Entertainment,34285.0,,DIS
65,Sysco Corporation,Wholesalers: Food and Grocery,32628.4,,SYY
66,"Prudential Financial, Inc.","Insurance: Life, Health (Stock)",32488.0,,PRU
67,"Johnson Controls, Inc.",Motor Vehicles & Parts,32413.0,,JCI
68,FedEx Corporation,"Mail, Package, and Freight Delivery",32294.0,,FDX
69,Honeywell International Inc.,Aerospace & Defense,31367.0,,HON
71,"Alcoa, Inc.",Metals,30896.0,,AA
72,Best Buy Co. Inc.,Specialty Retailers,30848.0,,BBY
73,Northrop Grumman Corporation,Aerospace & Defense,30304.0,,NOC
76,"Federated Department Stores, Inc.",General Merchandisers,28711.0,,FHI
77,"Cisco Systems, Inc.",Network and Other Communications Equipment,28484.0,,CSCO
79,American Express Company,Diversified Financials,27145.0,,AXP
82,The Hartford Financial Services Group Inc.,Insurance: Property and Casualty (Stock),26500.0,,HFF.BE
84,Comcast Corporation,Telecommunications,25700.0,,CMCSA
86,"Tyson Foods, Inc.",Food Production,25559.0,,TSN
89,"The Travelers Companies, Inc.",Insurance: Property and Casualty (Stock),25090.0,,TTC
90,Massachusetts Financial Group,"Insurance: Life, Health (Mutual)",24863.4,,MFG.AX
92,General Dynamics Corporation,Aerospace & Defense,24212.0,,GD
93,International Paper Company,Forest and Paper Products,24186.0,,IP
97,3M Company,zMiscellaneous,22923.0,,MMM
98,Deere & Company,Industrial and Farm Equipment,22768.9,,DE
99,"Merck & Co., Inc.",Pharmaceuticals,22636.0,,MRK
100,Halliburton Company,"Oil and Gas Equipment, Services",22576.0,,HAL
