Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
601336.SS,New York Life Insurance,"Insurance: Life, Health (Mutual)",0.0,0.0
AAL,American Airlines,Airlines,0.0,0.0
ABBV,AbbVie,Pharmaceuticals,0.0,0.0
ACI,Albertsons,Food & Drug Stores,0.0,0.0
ADM,Archer Daniels Midland,Food Production,0.0,0.0
ALL,Allstate,Insurance: Property and Casualty (Stock),0.0,0.0
AMZN,Amazon,Internet Services and Retailing,0.0,0.0
APLE,Apple,"Computers, Office Equipment",0.0,0.0
ATT.L,AT&T,Telecommunications,0.0,0.0
AVGO,Broadcom,Semiconductors and Other Electronic Components,0.0,0.0
AXP,American Express,Diversified Financials,0.0,0.0
BA,Boeing,Aerospace & Defense,0.0,0.0
BAC,Bank of America,Commercial Banks,0.0,0.0
CAH,Cardinal Health,Wholesalers: Health Care,0.0,0.0
CAT,Caterpillar,Construction and Farm Machinery,0.0,0.0
CHTR,Charter Communications,Telecommunications,0.0,0.0
CI,Cigna,Health Care: Pharmacy and Other Services,0.0,0.0
CITI.NE,Citi,Commercial Banks,0.0,0.0
CMCSA,Comcast,Telecommunications,0.0,0.0
CNC,Centene,Health Care: Insurance and Managed Care,0.0,0.0
