sector_name	inflation_correlation	avg_return_high_inflation	avg_return_low_inflation	performance_difference	sensitivity_category	companies_analyzed	analysis_type	generated_at
Insurance: Life, Health (Mutual)	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.585070
Network and Other Communications Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.593335
Petroleum Refining	0	0	0.0	0.0	Neutral - Minimal inflation impact	5	inflation_sensitivity	2025-11-24 22:58:33.593730
Entertainment	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.593986
Pipelines	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 22:58:33.594347
Motor Vehicles & Parts	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 22:58:33.594726
Mail, Package and Freight Delivery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.594998
Health Care: Medical Facilities	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.595267
Specialty Retailers: Other	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.595547
Information Technology Services	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.595801
Wholesalers: Electronics and Office Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.596050
Insurance: Life, Health (Stock)	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.596301
Computer Software	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.596547
Apparel	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.596812
Food Consumer Products	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.597089
Wholesalers: Food and Grocery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.597344
General Merchandisers	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 22:58:33.593038
Mining, Crude-Oil Production	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.592513
Beverages	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.592174
Health Care: Insurance and Managed Care	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 22:58:33.591880
Airlines	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 22:58:33.585533
Pharmaceuticals	0	0	0.0	0.0	Neutral - Minimal inflation impact	5	inflation_sensitivity	2025-11-24 22:58:33.585934
Food & Drug Stores	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.586268
Food Production	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.586898
Insurance: Property and Casualty (Mutual)	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.587202
Insurance: Property and Casualty (Stock)	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 22:58:33.587625
Internet Services and Retailing	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 22:58:33.587992
Household and Personal Products	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.597589
Computers, Office Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 22:58:33.588350
Semiconductors and Other Electronic Components	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 22:58:33.589054
Diversified Financials	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 22:58:33.589405
Aerospace & Defense	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 22:58:33.589753
Commercial Banks	0	0	0.0	0.0	Neutral - Minimal inflation impact	6	inflation_sensitivity	2025-11-24 22:58:33.590104
Wholesalers: Health Care	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 22:58:33.590756
Construction and Farm Machinery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.591149
Health Care: Pharmacy and Other Services	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 22:58:33.591442
Telecommunications	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 22:58:33.588703
Specialty Retailers: Apparel	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 22:58:33.597835
