SectorName,SectorCode,AvgVolatility,AvgReturn,Resilience,AvgRank,CompanyCount
Diversified Financials,DIVE,269.2557716369629,-0.3034648336470127,0.013238631188869476,1.75,1
Motor Vehicles & Parts,MOTO,147.49844360351562,0.16502967476844788,0.13410575687885284,1.0,1
Pipelines,PIPE,139.70934867858887,0.16809717006981373,-0.13808520138263702,1.0,1
Petroleum Refining,PETR,131.54640452067056,0.18795831874012947,-0.03107929416000843,2.0,3
Specialty Retailers,SPEC,126.96097373962402,0.035660588182508945,0.16184695065021515,1.0,1
"Mail, Package, and Freight Delivery",MAIL,125.12002754211426,0.1664908668026328,0.14537160843610764,1.5,2
Chemicals,CHEM,114.40722465515137,0.04586494364775717,0.11466185003519058,1.0,1
"Insurance: Life, Health (Mutual)",,109.01988410949707,-0.12732760980725288,0.10641269385814667,1.0,1
Health Care: Insurance and Managed Care,,106.96898937225342,0.16918001091107726,0.0556834964081645,1.875,2
Food & Drug Stores,FOOD,106.38701629638672,0.14859088463708758,0.26012638211250305,1.0,1
Internet Services and Retailing,INTE,104.75752544403076,0.06689830706454813,0.19603734463453293,1.5,2
Securities,,103.8074893951416,0.17365885619074106,0.29551589488983154,1.0,1
Commercial Banks,COMM,103.74347534179688,0.14434078438207507,0.09581528268754483,3.0,5
Entertainment,ENTE,102.03598213195801,-0.04677093029022217,0.1598791480064392,1.0,1
Wholesalers,WHOL,100.85682678222656,0.048253494780510664,0.08260854333639145,1.0,1
"Insurance: Life, Health (Stock)",INSU,100.45685386657715,0.12979016930330545,0.14289763445655504,2.0,3
Industrial and Farm Equipment,,99.78903198242188,0.07890075072646141,0.15831683576107025,1.0,1
Insurance: Property and Casualty (Stock),INSU,99.73260593414307,0.15058356570079923,-0.0016593043692409992,1.5,2
Specialty Retailers: Apparel,SPEC,99.4140682220459,0.05831348360516131,0.09862951189279556,1.0,1
Information Technology Services,INFO,86.35733222961426,0.07873785216361284,0.1172349825501442,1.0,1
Telecommunications,TELE,85.4792176882426,0.029034501407295465,0.12583516910672188,2.0,3
Food,,80.77729415893555,0.13602509649354033,0.07631760090589523,1.0,1
Health Care,HEAL,78.82621765136719,0.17696787137538195,0.08083598129451275,1.5,2
Insurance: Property and Casualty (Mutual),,78.33528137207031,0.05352171557024121,0.053236301988363266,1.0,1
Pharmaceutical,PHAR,77.31510925292969,0.12891161534935236,0.11439917981624603,1.0,1
Specialty Retailers: Other,SPEC,74.0079927444458,0.11421294906176627,0.05278373509645462,1.5,2
"Electronics, Electrical Equipment",,73.27263069152832,0.00716421427205205,0.1223490759730339,1.0,1
"Scientific, Photographic and Control Equipment",SCIE,72.54538154602051,0.04033643938601017,0.18606172502040863,1.0,1
Pharmaceuticals,PHAR,70.53263092041016,0.04016774985939264,0.020432800985872746,1.5,2
General Merchandisers,GENE,61.664549827575684,0.008452752837911248,0.057032324373722076,1.0,1
Food Consumer Products,FOOD,56.1409969329834,0.07823151163756847,0.06737569719552994,1.0,1
