sector,next_year,next_quarter,predicted_return,volatility,ci_lower,ci_upper
Computer And Data Services,2026,1,0.024341847747564316,3.1424316423279897,-0.5049821414861766,0.5536658369813052
Diversified Financials,2026,1,0.32008811169200474,2.8497996514870056,-0.3778715296276584,1.0180477530116678
Securities,2026,1,0.22238547851641974,2.292400613940995,-0.3161712882120553,0.7609422452448948
Health Care,2026,1,-0.22502725819746652,1.7985751805482086,-0.6348020331634177,0.18474751676848458
Industrial and Farm Equipment,2026,1,0.36788561940193176,1.911221767961979,-0.10885325352342051,0.8446244923272841
General Merchandisers,2026,1,0.02114596466223399,1.695998912056287,-0.33360600475200325,0.37589793407647126
Wholesalers: Health Care,2026,1,0.27245933810869855,1.7387962927078378,-0.10567555804782325,0.6505942342652203
Petroleum Refining,2026,1,0.04155222078164419,1.8273568886849616,-0.38075859904232745,0.4638630406056158
Aerospace & Defense,2026,1,-0.00880398228764534,1.7905904813773104,-0.5037330132895004,0.4861250487142097
Tobacco,2026,1,-0.13349309315284094,1.3965288201967876,-0.5754720065882616,0.30848582028257965
