rank,company,industry,revenue,employees,ticker
1,Exxon Mobil Corporation,Petroleum Refining,339938.0,,XOM
2,"Wal-Mart Stores, Inc.",General Merchandisers,315654.0,,WMT
4,Chevron Corporation,Petroleum Refining,189481.0,,CVX
5,Ford Motor Company,Motor Vehicles & Parts,177210.0,,F
6,ConocoPhillips,Petroleum Refining,166683.0,,COP
7,General Electric Company,Diversified Financials,157153.0,,GE
8,"Citigroup, Inc.",Commercial Banks,131045.0,,C
9,"American International Group,Inc.",Insurance: Property and Casualty (Stock),108905.0,,AIG
10,International Business Machines Corporation,"Computers, Office Equipment",91134.0,,IBM
12,Bank of America Corporation,Commercial Banks,83980.0,,BAC
15,Valero Energy Corporation,Petroleum Refining,81362.0,,VLO
16,McKesson Corporation,Wholesalers: Health Care,80514.6,,MCK
17,J.P. Morgan Chase & Co.,Commercial Banks,79902.0,,JPM
18,Verizon Communications Inc.,Telecommunications,75111.9,,VZ
19,"Cardinal Health, Inc.",Wholesalers: Health Care,74915.1,,CAH
20,"Altria Group, Inc.",Tobacco,69148.0,,MO
21,The Kroger Company,Food & Drug Stores,60552.9,,KR
26,The Boeing Company,Aerospace & Defense,54848.0,,BA
28,Costco Wholesale Corporation,Specialty Retailers,52935.2,,COST
29,Target Corporation,General Merchandisers,52620.0,,TGT
30,Morgan Stanley,Securities,52498.0,,MS
31,Pfizer Inc.,Pharmaceuticals,51353.0,,PFIZER.NS
32,Johnson & Johnson,Pharmaceuticals,50514.0,,JNJ
35,"MetLife, Inc.","Insurance: Life, Health (Stock)",46983.0,,MET
37,UnitedHealth Group Incorporated,Health Care: Insurance and Managed Care,45365.0,,UNH
39,AT&T Inc.,Telecommunications,43862.0,,ATT.L
40,Time Warner Inc.,Entertainment,43652.0,,T
41,"The Goldman Sachs Group, Inc.",Securities,43391.0,,TGS
42,"Lowe's Companies, Inc.",Specialty Retailers,43243.0,,LOW
44,"United Parcel Service, Inc.","Mail, Package, and Freight Delivery",42581.0,,UPS
46,Wells Fargo & Company,Commercial Banks,40407.0,,WFC
48,Microsoft Corporation,Computer Software,39788.0,,MSFT
49,Intel Corporation,Semiconductors and Other Electronic Components,38826.0,,INTC
52,Lockheed Martin Corporation,Aerospace & Defense,37213.0,,LMT
53,CVS Corporation,Food & Drug Stores,37006.2,,CVS
54,"Motorola, Inc.",Network and Other Communications Equipment,36843.0,,MSI
55,"Caterpillar, Inc.",Industrial and Farm Equipment,36339.0,,CAT
58,The Allstate Corporation,Insurance: Property and Casualty (Stock),35383.0,,ALL
61,"PepsiCo, Inc.",Food Consumer Products,32562.0,,PEP
62,"Lehman Brothers Holdings, Inc.",Securities,32420.0,,LEHNQ
63,The Walt Disney Company,Entertainment,31944.0,,DIS
64,"Prudential Financial, Inc.","Insurance: Life, Health (Stock)",31708.0,,PRU
65,"Plains All American Pipeline, L.P.",Pipelines,31177.3,,PAA
67,Northrop Grumman Corporation,Aerospace & Defense,30721.0,,NOC
68,Sysco Corporation,Wholesalers: Food and Grocery,30281.9,,SYY
69,American Express Company,Diversified Financials,30080.0,,AXP
70,FedEx Corporation,"Mail, Package, and Freight Delivery",29363.0,,FDX
71,Honeywell International Inc.,Aerospace & Defense,28862.0,,HON
75,"Johnson Controls, Inc.",Motor Vehicles & Parts,28019.5,,JCI
76,Best Buy Co. Inc.,Specialty Retailers,27433.0,,BBY
78,The Hartford Financial Services Group Inc.,Insurance: Property and Casualty (Stock),27083.0,,HFF.BE
79,"Alcoa, Inc.",Metals,26601.0,,AA
80,"Tyson Foods, Inc.",Food Production,26014.0,,TSN
82,International Paper Company,Forest and Paper Products,25797.0,,IP
83,"Cisco Systems, Inc.",Network and Other Communications Equipment,24801.0,,CSCO
87,"Federated Department Stores, Inc.",General Merchandisers,23347.0,,FHI
90,Weyerhaeuser Company,Forest and Paper Products,23000.0,,WY
92,Massachusetts Financial Group,"Insurance: Life, Health (Mutual)",22798.8,,MFG.AX
93,Abbott Laboratories,Pharmaceuticals,22337.8,,ABT
94,Comcast Corporation,Telecommunications,22255.0,,CMCSA
95,"Merck & Co., Inc.",Pharmaceuticals,22011.9,,MRK
96,Deere & Company,Industrial and Farm Equipment,21930.5,,DE
100,General Dynamics Corporation,Aerospace & Defense,21290.0,,GD
