ticker,company,sector_name,sector_code,year,quarter,avg_return,avg_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
601336.SS,New York Life Insurance,"Insurance: Life, Health (Mutual)",INSU,2025,2,-0.023416852191573502,2.399107273739813,5.581830277886065e-17,6.785754455469331e-17,-5.581830277886065e-17,2.0,0.1274351517646564,0,0
AAL,American Airlines,Airlines,AIRL,2025,2,0.4325308446100812,7.266445934800666,-1.868975525903146e-17,-1.868975525903146e-17,0.0,2.0,0.46131508907352403,0,0
ABBV,AbbVie,Pharmaceuticals,PHAR,2025,2,-0.24401102585485238,2.8387871218765577,-1.9787851591598264e-17,-1.9787851591598264e-17,0.0,4.0,-0.00782237852880201,0,0
ACI,Albertsons,Food & Drug Stores,FOOD,2025,2,-0.013279177825947275,2.6313245951692807,1.1552475606936687e-17,1.1552475606936687e-17,0.0,2.0,0.05789253750507203,0,0
ADM,Archer Daniels Midland,Food Production,FOOD,2025,2,0.1603508248775572,3.0339198577348254,2.2098803575072166e-17,2.2098803575072166e-17,0.0,1.0,-0.056209554572697995,1,0
ALL,Allstate,Insurance: Property and Casualty (Stock),INSU,2025,2,0.06513241956868668,3.0028018358986084,1.1407717060593855e-17,1.1407717060593855e-17,0.0,4.0,0.12311421624645309,0,0
AMZN,Amazon,Internet Services and Retailing,INTE,2025,2,0.18352966400088205,4.539895021957831,-2.8757965191363864e-17,-2.8757965191363864e-17,0.0,2.0,0.22988236092250539,0,0
APLE,Apple,"Computers, Office Equipment",COMP,2025,2,-0.17887339801761715,4.7862771699532445,0.0,0.0,0.0,2.0,-0.2552278959359553,1,0
ATT.L,AT&T,Telecommunications,TELE,2025,2,0.30036592659267364,3.983398437078768,0.0,0.0,0.0,2.0,0.16221364693074655,1,0
AVGO,Broadcom,Semiconductors and Other Electronic Components,SEMI,2025,2,0.9843856887701352,6.198287616005844,0.0,0.0,0.0,1.0,0.563162468005034,1,0
AXP,American Express,Diversified Financials,DIVE,2025,2,0.2903392658572966,4.820237349813125,5.765806911909347e-17,5.765806911909347e-17,0.0,3.0,0.3587542530178437,0,0
BA,Boeing,Aerospace & Defense,AERO,2025,2,0.6939159355971176,5.481946812442053,1.3128679216049138e-17,1.3128679216049138e-17,0.0,1.0,0.27229672716957587,1,0
BAC,Bank of America,Commercial Banks,COMM,2025,2,0.24123922458982547,4.222386966906577,-1.719678430019078e-17,-1.719678430019078e-17,0.0,3.0,0.20297074564332776,1,0
CAH,Cardinal Health,Wholesalers: Health Care,WHOL,2025,2,0.34285784594667756,2.2435252142981286,1.6714385238275976e-17,1.6714385238275976e-17,0.0,1.0,0.20986935354612676,1,0
CAT,Caterpillar,Construction and Farm Machinery,CONS,2025,2,0.18951440762848928,3.955262245132306,-1.6896848451774933e-17,-1.6896848451774933e-17,0.0,2.0,0.2753873888264516,0,0
CHTR,Charter Communications,Telecommunications,TELE,2025,2,0.3800224396470752,3.811484547200259,0.0,0.0,0.0,1.0,0.16221364693074655,1,0
CI,Cigna,Health Care: Pharmacy and Other Services,HEAL,2025,2,-0.04266988520975157,1.9571661115346732,-4.015380250468065e-17,-4.015380250468065e-17,0.0,1.0,-0.08726857364007433,1,0
CITI.NE,Citi,Commercial Banks,COMM,2025,2,0.23932670042943655,4.348963021130934,0.0,0.0,0.0,4.0,0.20297074564332776,1,0
CMCSA,Comcast,Telecommunications,TELE,2025,2,-0.05818710231242798,2.8593074714802,0.0,0.0,0.0,4.0,0.16221364693074655,0,0
CNC,Centene,Health Care: Insurance and Managed Care,HEAL,2025,2,0.09480111643220364,2.846216757764732,1.9574560657899686e-17,1.9574560657899686e-17,0.0,1.0,-0.3787995840063239,1,0
COLA.WA,Coca-Cola,Beverages,BEVE,2025,2,-0.024281637969795728,2.8856953255981423,0.0,0.0,3.898078341601662e-17,1.0,-0.024281637969795728,0,0
