Sector,Year,AvgReturn,AvgVolatility,SectorBenchmark
Diversified Financials,2013,1.4472317262552679,516.2018585205078,0.8216746081598103
Food,2014,1.0757131231948733,390.6945266723633,1.0757131231948733
Insurance: Property and Casualty (Stock),2017,0.9386569225462154,364.99702310562134,0.7463188422843814
Diversified Financials,2023,0.9288005871432168,148.1477061680385,0.8361021535737174
Health Care: Pharmacy and Other Services,2023,0.7238752841949463,30.85982322692871,0.7238752841949463
Semiconductor And Electronics,2023,0.7181609272956848,39.59601974487305,0.7181609272956848
"Scientific, Photographic and Control Equipment",2007,0.5819495432078838,241.63045501708984,0.5819495432078838
Diversified Financials,2019,0.5615902948193252,304.4059371948242,0.3422587551176548
Specialty Retailers,2013,0.561546090990305,185.65014266967773,0.561546090990305
Semiconductors and Other Electronic Components,2023,0.5537981986999512,18.89297103881836,0.5537981986999512
"Insurance: Life, Health (Stock)",2014,0.5392628799054364,245.17053031921387,0.5392628964036703
Telecommunications,1999,0.5166804436594248,116.82723808288574,0.5166804436594248
Diversified Financials,2016,0.49116900749504566,315.9473991394043,0.2654119059443474
"Insurance: Life, Health (Mutual)",2011,0.48851001262664795,14.434425354003906,0.48851001262664795
"Scientific, Photographic and Control Equipment",2015,0.4620800204575062,220.15829181671143,0.4620800204575062
Food & Drug Stores,2009,0.44415053725242615,276.485408782959,0.44415053725242615
Wholesalers: Electronics and Office Equipment,2023,0.43801990151405334,20.07386016845703,0.43801990151405334
Securities,1999,0.43545710667967796,209.4643325805664,0.43545710667967796
Securities,2009,0.40752064250409603,300.7720184326172,0.40752064250409603
Diversified Financials,2025,0.4025990792683193,197.09042358398438,0.21911896552358354
Network and Other Communications Equipment,1999,0.39795711264014244,178.27012634277344,0.39795711264014244
Metals,1999,0.38303015753626823,162.5035400390625,0.38303015753626823
Internet Services And Retailing,2023,0.37443098558911253,132.9258324759347,0.41455345175095965
Health Care: Medical Facilities,2023,0.37195107340812683,27.812698364257812,0.37195107340812683
Pipelines,2016,0.3640093430876732,328.54205322265625,0.3640093430876732
Petroleum Refining,2022,0.3585783315356821,181.5159149169922,0.40852742292918265
"Insurance: Life, Health (Mutual)",2014,0.3527393415570259,116.83926963806152,0.3527393415570259
"Scientific, Photographic and Control Equipment",2023,0.3484797775745392,19.57679557800293,0.3484797775745392
Specialty Retailers,2003,0.33396370708942413,167.95928192138672,0.33396370708942413
"Automotive Retailing, Services",2001,0.33222098648548126,177.41327667236328,0.33222098648548126
Energy,2019,0.32838975824415684,132.16139030456543,0.32838975824415684
"Insurance: Life, Health (Stock)",2009,0.316295824944973,367.78131103515625,0.3162958254106343
General Merchandisers,1998,0.315112704411149,136.61000633239746,0.315112704411149
Network and Other Communications Equipment,2009,0.30985109508037567,225.14416885375977,0.30985109508037567
Insurance: Property and Casualty (Stock),2010,0.30321708135306835,210.24649810791016,0.30321708135306835
"Aerospace, Defense",2023,0.29801352322101593,16.635002613067627,0.29801350831985474
Health Care,2000,0.2976395064033568,181.2148895263672,0.3209347501397133
Insurance: Property and Casualty (Mutual),2000,0.2947262888774276,189.34567642211914,0.2947262888774276
Metals & Mining,2023,0.28573378920555115,36.89442825317383,0.28573378920555115
Metals,2009,0.2785176858305931,281.7341003417969,0.2785176858305931
"Mail, Package, and Freight Delivery",2020,0.2742203790694475,193.40945053100586,0.2742203790694475
Computer And Data Services,2003,0.270572567358613,126.75445365905762,0.270572567358613
Industrial and Farm Equipment,2003,0.2689681947231293,110.57914924621582,0.2689681947231293
Wholesalers: Electronics and Office Equipment,2020,0.2636128291487694,282.94195556640625,0.2636128291487694
Industrial Machinery,2024,0.263102438300848,83.59157752990723,0.263102438300848
Motor Vehicles & Parts,2010,0.26233699917793274,28.953577041625977,0.26233699917793274
Information Technology Services,1998,0.2564832391217351,118.93227195739746,0.2564832391217351
Motor Vehicles & Parts,2023,0.2560003772377968,80.27600733439128,0.2560003822048505
Computer And Data Services,1999,0.25314806029200554,211.83395385742188,0.25314806029200554
Specialty Retailers,2019,0.2504113141912967,135.00815773010254,0.2504113141912967
Securities,1997,0.2485375888645649,145.04815101623535,0.2485375888645649
Medical Products and Equipment,2023,0.24420851469039917,13.85587215423584,0.24420851469039917
"Computers, Office Equipment",1998,0.2397409901022911,139.11952590942383,0.2397409901022911
Energy,2000,0.23904490936547518,119.92998886108398,0.23904490936547518
Tobacco,2001,0.23875044734450057,121.5423526763916,0.23875044734450057
General Merchandisers,1999,0.23846867046086118,147.59163284301758,0.23846867046086118
Metals,2003,0.23520158510655165,131.08476638793945,0.23520158510655165
Information Technology Services,1996,0.23432625085115433,129.85510635375977,0.23432625085115433
"Insurance: Life, Health (Stock)",2013,0.2335114679299295,98.07040786743164,0.23351146839559078
"Insurance: Life, Health (Stock)",2000,0.23348694760352373,146.3270149230957,0.23348694760352373
Health Care: Insurance and Managed Care,2017,0.2331533320248127,103.29010391235352,0.1852392517030239
