Sector,Year,AvgReturn,AvgVolatility,SectorBenchmark
Insurance,2024,0.0,0.0,0.0
Metals & Mining,2024,0.0,0.0,0.0
"Computers, Office Equipment",2024,0.0,0.0,0.0
Pharmaceutical,2024,0.0,0.0,0.0
Food & Drug Stores,2024,0.0,0.0,0.0
Food Production,2024,0.0,0.0,0.0
Financial Services,2024,0.0,0.0,0.0
Telecommunications,2024,0.0,0.0,0.0
Diversified Financials,2024,0.0,0.0,0.0
"Aerospace, Defense",2024,0.0,0.0,0.0
Commercial Banks,2024,0.0,0.0,0.0
Specialty Retailers,2024,0.0,0.0,0.0
Wholesalers,2024,0.0,0.0,0.0
Construction And Farm Machinery,2024,0.0,0.0,0.0
Health Care,2024,0.0,0.0,0.0
Beverage,2024,0.0,0.0,0.0
"Mining, Crude-Oil Production",2024,0.0,0.0,0.0
General Merchandisers,2024,0.0,0.0,0.0
Network And Other Communications Equipment,2024,0.0,0.0,0.0
Petroleum Refining,2024,0.0,0.0,0.0
Airlines,2024,0.0,0.0,0.0
Entertainment,2024,0.0,0.0,0.0
Chemicals,2024,0.0,0.0,0.0
Pipelines,2024,0.0,0.0,0.0
Motor Vehicles & Parts,2024,0.0,0.0,0.0
"Mail, Package, And Freight Delivery",2024,0.0,0.0,0.0
Industrial Machinery,2024,0.0,0.0,0.0
Internet Services And Retailing,2024,0.0,0.0,0.0
Health Care: Medical Facilities,2024,0.0,0.0,0.0
Information Technology Services,2024,0.0,0.0,0.0
Semiconductor And Electronics,2024,0.0,0.0,0.0
Computer Software,2024,0.0,0.0,0.0
Apparel,2024,0.0,0.0,0.0
Food Consumer Products,2024,0.0,0.0,0.0
Household And Personal Products,2024,0.0,0.0,0.0
Energy,2024,0.0,0.0,0.0
