rank,company,industry,revenue,profit,profit %,year,employees,ticker
1,General Motors Corporation,Motor Vehicles & Parts,178174.0,,,1998,,GM
2,Ford Motor Company,Motor Vehicles & Parts,153627.0,,,1998,,F
3,Exxon Corporation,Petroleum Refining,122379.0,,,1998,,XOM
4,"Wal-Mart Stores, Inc.",General Merchandisers,119299.0,,,1998,,WMT
5,General Electric Company,"Electronics, Electrical Equipment",90840.0,,,1998,,GE
6,International Business Machines Corporation,"Computers, Office Equipment",78508.0,,,1998,,IBM
7,Chrysler Corporation,Motor Vehicles & Parts,61147.0,,,1998,,
8,Mobil Corporation,Petroleum Refining,59978.0,,,1998,,MBLY
9,Philip Morris Companies Inc.,Tobacco,56114.0,,,1998,,TABAK.PR
10,AT&T Corp.,Telecommunications,53261.0,,,1998,,ATT.L
11,The Boeing Company,Aerospace & Defense,45800.0,,,1998,,BA
12,Texaco Inc.,Petroleum Refining,45187.0,,,1998,,TEXC.NS
13,State Farm Insurance Companies,Insurance: Property and Casualty (Mutual),43957.0,,,1998,,
14,Hewlett-Packard Company,"Computers, Office Equipment",42895.0,,,1998,,
15,"E.I. du Pont de Nemours and Company, Inc.",Chemicals,41304.0,,,1998,,
16,"Sears, Roebuck and Co.",General Merchandisers,41296.0,,,1998,,SSRAP
17,Travelers Group Inc.,Diversified Financials,37609.0,,,1998,,TRV
18,Prudential Insurance Company of America,"Insurance: Life, Health (Stock)",37073.0,,,1998,,PRU
19,Chevron Corporation,Petroleum Refining,36376.0,,,1998,,CVX
20,The Procter & Gamble Company,"Soaps, Cosmetics",35764.0,,,1998,,TPG
21,Citicorp,Commercial Banks,34697.0,,,1998,,
22,Amoco,Petroleum Refining,32836.0,,,1998,,
23,Kmart Corporation,General Merchandisers,32183.0,,,1998,,
24,"Merrill Lynch & Co., Inc.",Securities,31731.0,,,1998,,DE000SLA1M99.SG
25,"J.C. Penney Company, Inc.",General Merchandisers,30546.0,,,1998,,
26,"American International Group,Inc.",Insurance: Property and Casualty (Stock),30519.5,,,1998,,AIG
27,The Chase Manhattan Corporation,Commercial Banks,30381.0,,,1998,,
28,Bell Atlantic Corporation,Telecommunications,30193.9,,,1998,,
29,"Motorola, Inc.","Electronics, Electrical Equipment",29794.0,,,1998,,MSI
30,Teachers Insurance and Annuity Association College Retiremen,"Insurance: Life, Health (Mutual)",29348.4,,,1998,,
31,"PepsiCo, Inc.",Beverages,29292.0,,,1998,,PEP
32,Lockheed Martin Corporation,Aerospace & Defense,28069.0,,,1998,,LMT
33,Fannie Mae,Diversified Financials,27776.9,,,1998,,FNMA
35,"Morgan Stanley, Dean Witter, Discover & Co.",Securities,27132.0,,,1998,,MSD
36,The Kroger Company,Food & Drug Stores,26567.3,,,1998,,KR
37,Lucent Technologies,"Electronics, Electrical Equipment",26360.0,,,1998,,
38,Intel Corporation,Semiconductors,25070.0,,,1998,,INTC
39,The Allstate Corporation,Insurance: Property and Casualty (Stock),24949.0,,,1998,,ALL
40,"SBC Communications, Inc.",Telecommunications,24856.0,,,1998,,SBC
41,United Technologies Corporation,Aerospace & Defense,24713.0,,,1998,,
42,Compaq Computer Corporation,"Computers, Office Equipment",24584.0,,,1998,,
