rank,company,industry,revenue,profit,profit %,year,employees,ticker
1,Walmart,General Merchandisers,611289.0,11680.0,,2023,2100000.0,WMT
2,Amazon,Internet Services and Retailing,513983.0,2722.0,,2023,1541000.0,AMZN
3,Exxon Mobil,Petroleum Refining,413680.0,55740.0,,2023,62000.0,XOM
4,Apple,"Computers, Office Equipment",394328.0,99803.0,,2023,164000.0,APLE
5,UnitedHealth Group,Health Care: Insurance and Managed Care,324162.0,20120.0,,2023,400000.0,UNH
6,CVS Health,Health Care: Pharmacy and Other Services,322467.0,4149.0,,2023,259500.0,CVS
7,Berkshire Hathaway,Insurance: Property and Casualty (Stock),302089.0,22819.0,,2023,383000.0,BRK.A
8,Alphabet,Internet Services and Retailing,282836.0,59972.0,,2023,190234.0,GOOGL
9,McKesson,Wholesalers: Health Care,263966.0,1114.0,,2023,66500.0,MCK
10,Chevron,Petroleum Refining,246252.0,35465.0,,2023,43846.0,CVX
11,AmerisourceBergen,Wholesalers: Health Care,238587.0,1699.0,,2023,41500.0,ABC.VI
12,Costco Wholesale,General Merchandisers,226954.0,5844.0,,2023,304000.0,COST
13,Microsoft,Computer Software,198270.0,72738.0,,2023,221000.0,MSFT
14,Cardinal Health,Wholesalers: Health Care,181364.0,933.0,,2023,46035.0,CAH
15,Cigna,Health Care: Pharmacy and Other Services,180516.0,6668.0,,2023,70231.0,CI
16,Marathon Petroleum,Petroleum Refining,180012.0,14516.0,,2023,17800.0,MPC
17,Phillips 66,Petroleum Refining,175702.0,11024.0,,2023,13000.0,PSX
18,Valero Energy,Petroleum Refining,171189.0,11528.0,,2023,9743.0,VLO
19,Ford Motor,Motor Vehicles & Parts,158057.0,1981.0,,2023,173000.0,F
20,Home Depot,Specialty Retailers: Other,157403.0,17105.0,,2023,471600.0,HD
21,General Motors,Motor Vehicles & Parts,156735.0,9934.0,,2023,167000.0,GM
22,Elevance Health,Health Care: Insurance and Managed Care,156595.0,6025.0,,2023,102300.0,ELV
23,JPMorgan Chase,Commercial Banks,154792.0,37676.0,,2023,293723.0,JPM
24,Kroger,Food & Drug Stores,148258.0,2244.0,,2023,430000.0,KR
25,Centene,Health Care: Insurance and Managed Care,144547.0,1202.0,,2023,74300.0,CNC
26,Verizon Communications,Telecommunications,136835.0,21256.0,,2023,117100.0,VZ
27,Walgreens Boots Alliance,Food & Drug Stores,132703.0,4337.0,,2023,262500.0,WBA
28,Fannie Mae,Diversified Financials,121596.0,12923.0,,2023,8000.0,FNMA
29,Comcast,Telecommunications,121427.0,5370.0,,2023,186000.0,CMCSA
30,AT&T,Telecommunications,120741.0,8524.0,,2023,160700.0,ATT.L
31,Meta Platforms,Internet Services and Retailing,116609.0,23200.0,,2023,86482.0,META
32,Bank of America,Commercial Banks,115053.0,27528.0,,2023,216823.0,BAC
33,Target,General Merchandisers,109120.0,2780.0,,2023,440000.0,TGT
34,Dell Technologies,"Computers, Office Equipment",102301.0,2442.0,,2023,133000.0,DELL
35,Archer Daniels Midland,Food Production,101556.0,4340.0,,2023,41181.0,ADM
36,Citigroup,Commercial Banks,101078.0,14845.0,,2023,238104.0,C
37,UPS,"Mail, Package, and Freight Delivery",100338.0,11548.0,,2023,404700.0,UPS
38,Pfizer,Pharmaceuticals,100330.0,31372.0,,2023,83000.0,PFIZER.NS
39,Lowe's,Specialty Retailers: Other,97059.0,6437.0,,2023,244500.0,X1G.PA
40,Johnson & Johnson,Pharmaceuticals,94943.0,17941.0,,2023,152700.0,JNJ
41,FedEx,"Mail, Package, and Freight Delivery",93512.0,3826.0,,2023,464400.0,FDX
42,Humana,Health Care: Insurance and Managed Care,92870.0,2806.0,,2023,67100.0,HUM.ST
43,Energy Transfer,Pipelines,89876.0,4756.0,,2023,12565.0,ET
44,State Farm Insurance,Insurance: Property and Casualty (Mutual),89328.0,6654.0,,2023,60519.0,
45,Freddie Mac,Diversified Financials,86717.0,9327.0,,2023,7819.0,FMCC
46,PepsiCo,Food Consumer Products,86392.0,8910.0,,2023,315000.0,PEP
47,Wells Fargo,Commercial Banks,82859.0,13182.0,,2023,238000.0,WFC
