rank,company,industry,revenue,profit,profit %,year,employees,ticker
1,"Wal-Mart Stores, Inc.",General Merchandisers,258681.0,,,2004,,WMT
2,Exxon Mobil Corporation,Petroleum Refining,213199.0,,,2004,,XOM
3,General Motors Corporation,Motor Vehicles & Parts,195645.2,,,2004,,GM
4,Ford Motor Company,Motor Vehicles & Parts,164496.0,,,2004,,F
5,General Electric Company,Diversified Financials,134187.0,,,2004,,GE
6,ChevronTexaco Corporation,Petroleum Refining,112937.0,,,2004,,
7,ConocoPhillips,Petroleum Refining,99468.0,,,2004,,COP
8,"Citigroup, Inc.",Commercial Banks,94713.0,,,2004,,C
9,International Business Machines Corporation,"Computers, Office Equipment",89131.0,,,2004,,IBM
10,"American International Group,Inc.",Insurance: Property and Casualty (Stock),81300.0,,,2004,,AIG
11,Hewlett-Packard Company,"Computers, Office Equipment",73061.0,,,2004,,
12,Verizon Communications Inc.,Telecommunications,67752.0,,,2004,,VZ
13,"The Home Depot, Inc.",Specialty Retailers,64816.0,,,2004,,THD
14,Berkshire Hathaway Inc.,Insurance: Property and Casualty (Stock),63859.0,,,2004,,BRK.A
15,"Altria Group, Inc.",Tobacco,60704.0,,,2004,,MO
16,McKesson Corporation,Wholesalers: Health Care,57129.2,,,2004,,MCK
17,"Cardinal Health, Inc.",Wholesalers: Health Care,56829.5,,,2004,,CAH
18,State Farm Insurance Cos.,Insurance: Property and Casualty (Mutual),56064.6,,,2004,,
19,The Kroger Company,Food & Drug Stores,53790.8,,,2004,,KR
20,Fannie Mae,Diversified Financials,53766.9,,,2004,,FNMA
21,The Boeing Company,Aerospace & Defense,50485.0,,,2004,,BA
22,AmerisourceBergen Corp.,Wholesalers: Health Care,49657.3,,,2004,,ABC.VI
23,Target Corporation,General Merchandisers,48163.0,,,2004,,TGT
24,Bank of America Corporation,Commercial Banks,48065.0,,,2004,,BAC
25,Pfizer Inc.,Pharmaceuticals,45950.0,,,2004,,PFIZER.NS
26,J.P. Morgan Chase & Co.,Commercial Banks,44363.0,,,2004,,JPM
27,Time Warner Inc.,Entertainment,43877.0,,,2004,,T
28,The Procter & Gamble Company,Household and Personal Products,43377.0,,,2004,,TPG
29,Costco Wholesale Corporation,Specialty Retailers,42545.6,,,2004,,COST
30,Johnson & Johnson,Pharmaceuticals,41862.0,,,2004,,JNJ
31,Dell Inc.,"Computers, Office Equipment",41444.0,,,2004,,DELL
32,Sears Roebuck and Company,General Merchandisers,41124.0,,,2004,,SSRAP
33,SBC Communications Inc.,Telecommunications,40843.0,,,2004,,SBC
34,Valero Energy Corp,Petroleum Refining,37968.6,,,2004,,VLO
35,Marathon Oil Corporation,Petroleum Refining,37137.0,,,2004,,MRO
36,MetLife Inc.,"Insurance: Life, Health (Stock)",36261.0,,,2004,,MET
37,Safeway Inc.,Food & Drug Stores,35552.7,,,2004,,301559.SZ
38,"Albertson's, Inc.",Food & Drug Stores,35436.0,,,2004,,ACI
39,Morgan Stanley,Securities,34933.0,,,2004,,MS
40,AT&T,Telecommunications,34529.0,,,2004,,ATT.L
41,Medco Health Solutions,Health Care,34264.5,,,2004,,MED.PM
42,"United Parcel Service, Inc.","Mail, Package, and Freight Delivery",33485.0,,,2004,,UPS
43,"J.C. Penney Company, Inc.",General Merchandisers,32923.0,,,2004,,
44,The Dow Chemical Company,Chemicals,32632.0,,,2004,,TDC
45,Walgreen Co.,Food & Drug Stores,32505.4,,,2004,,
46,Microsoft Corporation,Computer Software,32187.0,,,2004,,MSFT
47,The Allstate Corporation,Insurance: Property and Casualty (Stock),32149.0,,,2004,,ALL
48,Lockheed Martin Corporation,Aerospace & Defense,31844.0,,,2004,,LMT
49,Wells Fargo,Commercial Banks,31800.0,,,2004,,WFC
50,"Lowe's Companies, Inc.",Specialty Retailers,31263.0,,,2004,,LOW
51,United Technologies Corporation,Aerospace & Defense,31034.0,,,2004,,
52,Archer-Daniels-Midland Company,Food Production,30708.0,,,2004,,
53,Intel Corporation,Semiconductors and Other Electronic Components,30141.0,,,2004,,INTC
54,"UnitedHealth Group, Incorporated",Health Care,28823.0,,,2004,,UNH
55,Northrop Grumman Corporation,Aerospace & Defense,28686.0,,,2004,,NOC
56,Delphi Corporation,Motor Vehicles & Parts,28096.0,,,2004,,DELPHIFX.NS
57,"Prudential Financial, Inc.","Insurance: Life, Health (Stock)",27907.0,,,2004,,PRU
58,"Merrill Lynch & Co., Inc.",Securities,27745.0,,,2004,,DE000SLA1M99.SG
59,E.I. du Pont de Nemours,Chemicals,27730.0,,,2004,,
60,The Walt Disney Company,Entertainment,27061.0,,,2004,,DIS
61,"Motorola, Inc.",Network and Other Communications Equipment,27058.0,,,2004,,MSI
62,"PepsiCo, Inc.",Food Consumer Products,26971.0,,,2004,,PEP
63,CVS Corporation,Food & Drug Stores,26588.0,,,2004,,CVS
64,Viacom Inc.,Entertainment,26585.3,,,2004,,
65,Sprint Corporation,Telecommunications,26202.0,,,2004,,SPRINT.ST
66,Sysco Corporation,Wholesalers: Food and Grocery,26140.3,,,2004,,SYY
67,Kmart Holding Corporation,General Merchandisers,26032.0,,,2004,,BRKN.SW
68,Teachers Insurance and Annuity Association College Retiremen,"Insurance: Life, Health (Mutual)",26016.2,,,2004,,
69,American Express Company,Diversified Financials,25866.0,,,2004,,AXP
70,New York Life Insurance Company,"Insurance: Life, Health (Mutual)",25699.7,,,2004,,601336.SS
71,International Paper Company,Forest and Paper Products,25200.0,,,2004,,IP
72,"Tyson Foods, Inc.",Food Production,24549.0,,,2004,,TSN
73,Wachovia Corp.,Commercial Banks,24474.0,,,2004,,
74,"Goldman Sachs Group, Inc.",Securities,23623.0,,,2004,,GS
75,Duke Energy,Energy,23483.0,,,2004,,DUK
76,Honeywell International Inc.,Aerospace & Defense,23103.0,,,2004,,HON
77,"Caterpillar, Inc.",Industrial and Farm Equipment,22763.0,,,2004,,CAT
78,Best Buy Co. Inc.,Specialty Retailers,22673.0,,,2004,,BBY
79,"Johnson Controls, Inc.",Motor Vehicles & Parts,22646.0,,,2004,,JCI
80,BellSouth Corporation,Telecommunications,22635.0,,,2004,,KTBA
81,"Ingram Micro, Inc.",Wholesalers: Electronics and Office Equipment,22613.0,,,2004,,INGM
82,FedEx Corporation,"Mail, Package, and Freight Delivery",22487.0,,,2004,,FDX
