rank,company,industry,revenue,profit,profit %,year,employees,ticker
1,General Motors Corporation,Motor Vehicles & Parts,189058.0,,,2000,,GM
2,"Wal-Mart Stores, Inc.",General Merchandisers,166809.0,,,2000,,WMT
3,Exxon Mobil Corporation,Petroleum Refining,163881.0,,,2000,,XOM
4,Ford Motor Company,Motor Vehicles & Parts,162558.0,,,2000,,F
5,General Electric Company,Diversified Financials,111630.0,,,2000,,GE
6,International Business Machines Corporation,"Computers, Office Equipment",87548.0,,,2000,,IBM
7,"Citigroup, Inc.",Diversified Financials,82005.0,,,2000,,C
8,AT&T Corp.,Telecommunications,62391.0,,,2000,,ATT.L
9,Philip Morris Companies Inc.,Tobacco,61751.0,,,2000,,TABAK.PR
10,The Boeing Company,Aerospace & Defense,57993.0,,,2000,,BA
11,Bank of America Corporation,Commercial Banks,51392.0,,,2000,,BAC
12,"SBC Communications, Inc.",Telecommunications,49489.0,,,2000,,SBC
14,The Kroger Company,Food & Drug Stores,45351.6,,,2000,,KR
15,State Farm Insurance Companies,Insurance: Property and Casualty (Mutual),44637.2,,,2000,,
16,"Sears, Roebuck and Co.",General Merchandisers,41071.0,,,2000,,SSRAP
17,"American International Group,Inc.",Insurance: Property and Casualty (Stock),40656.1,,,2000,,AIG
18,Enron,Pipelines,40112.0,,,2000,,
19,Teachers Insurance and Annuity Association College Retiremen,"Insurance: Life, Health (Mutual)",39410.2,,,2000,,
20,Compaq Computer Corporation,"Computers, Office Equipment",38525.0,,,2000,,
21,"The Home Depot, Inc.",Specialty Retailers,38434.0,,,2000,,THD
22,Lucent Technologies,Network Communications,38303.0,,,2000,,
23,The Procter & Gamble Company,"Soaps, Cosmetics",38125.0,,,2000,,TPG
24,Hewlett-Packard Company,Food & Drug Stores,37478.1,,,2000,,
25,"MCI WorldCom, Inc.",Telecommunications,37120.0,,,2000,,
26,Fannie Mae,Diversified Financials,36968.6,,,2000,,FNMA
27,Kmart Corporation,General Merchandisers,35925.0,,,2000,,
28,Texaco Inc.,Petroleum Refining,35690.0,,,2000,,TEXC.NS
29,"Merrill Lynch & Co., Inc.",Securities,34879.0,,,2000,,DE000SLA1M99.SG
30,Morgan Stanley Dean Witter & Co.,Securities,33928.0,,,2000,,MS
31,Chase Manhattan Corp,Commercial Banks,33710.0,,,2000,,
32,Target,General Merchandisers,33702.0,,,2000,,TGT
33,Bell Atlantic Corporation,Telecommunications,33174.0,,,2000,,
34,"Merck & Co., Inc.",Pharmaceuticals,32714.0,,,2000,,MRK
35,Chevron Corporation,Petroleum Refining,32676.0,,,2000,,CVX
36,"J.C. Penney Company, Inc.",General Merchandisers,32510.0,,,2000,,
37,"Motorola, Inc.","Electronics, Electrical Equipment",30931.0,,,2000,,MSI
38,McKesson HBOC Inc.,Wholesalers,30382.3,,,2000,,MCK
