sector_name	inflation_correlation	avg_return_high_inflation	avg_return_low_inflation	performance_difference	sensitivity_category	companies_analyzed	analysis_type	generated_at
Insurance: Life, Health (Mutual)	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.023007
Network and Other Communications Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.030255
Petroleum Refining	0	0	0.0	0.0	Neutral - Minimal inflation impact	5	inflation_sensitivity	2025-11-24 19:01:11.030602
Entertainment	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.030845
Pipelines	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 19:01:11.031187
Motor Vehicles & Parts	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 19:01:11.031528
Mail, Package and Freight Delivery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.031769
Health Care: Medical Facilities	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.032011
Specialty Retailers: Other	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.032255
Information Technology Services	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.032498
Wholesalers: Electronics and Office Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.032736
Insurance: Life, Health (Stock)	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.033013
Computer Software	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.033432
Apparel	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.033850
Food Consumer Products	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.034128
Wholesalers: Food and Grocery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.034383
General Merchandisers	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 19:01:11.030009
Mining, Crude-Oil Production	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.029662
Beverages	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.029417
Health Care: Insurance and Managed Care	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 19:01:11.029170
Airlines	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 19:01:11.023438
Pharmaceuticals	0	0	0.0	0.0	Neutral - Minimal inflation impact	5	inflation_sensitivity	2025-11-24 19:01:11.023816
Food & Drug Stores	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.024069
Food Production	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.024455
Insurance: Property and Casualty (Mutual)	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.024943
Insurance: Property and Casualty (Stock)	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 19:01:11.025415
Internet Services and Retailing	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 19:01:11.025838
Household and Personal Products	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.034644
Computers, Office Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 19:01:11.026199
Semiconductors and Other Electronic Components	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 19:01:11.026905
Diversified Financials	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 19:01:11.027255
Aerospace & Defense	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 19:01:11.027606
Commercial Banks	0	0	0.0	0.0	Neutral - Minimal inflation impact	6	inflation_sensitivity	2025-11-24 19:01:11.027972
Wholesalers: Health Care	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 19:01:11.028322
Construction and Farm Machinery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.028577
Health Care: Pharmacy and Other Services	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 19:01:11.028823
Telecommunications	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 19:01:11.026554
Specialty Retailers: Apparel	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 19:01:11.034895
