Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
ABC.VI,AmerisourceBergen,,0.1371895968914032,-0.1793278860859573
EPD,Enterprise Products Partners,,0.06495849788188934,0.038820193614810705
COR,Cencora,Wholesalers: Health Care,0.05698484927415848,0.14575744606554508
UIPMX,USAA,,0.05581492558121681,0.13231920980309186
CAH,Cardinal Health,Wholesalers,0.05297626852989197,-0.016052496433258057
PG,Procter & Gamble,Household And Personal Products,0.04748466610908508,0.019264869391918182
MFG.AX,Massachusetts Financial Group,,0.04666206240653992,0.18325083811456958
AN,"AutoNation, Inc.","Automotive Retailing, Services",0.04319116473197937,0.05456407859067743
TABAK.PR,Philip Morris Companies Inc.,Tobacco,0.042197611182928085,0.14233371500934786
PGR,Progressive,Insurance,0.041890782117843625,0.1385793587192893
NOC,Northrop Grumman Corporation,,0.04023273289203644,0.033292331425602444
NOC,Northrop Grumman,,0.04023273289203644,1.2849755394272506
GEN,Digital Equipment Corporation,"Computers, Office Equipment",0.03623972833156586,0.06461627312819473
PAGP,Plains Gp Holdings,Pipelines,0.03406558334827423,0.04689059127122164
CHS.V,Chs,Food Production,0.03271926641464233,-1.3936933994293212
PAGP,Plains GP Holdings,,0.03181106969714165,-0.0008933524552144503
PAGP,"Plains GP Holdings, L.P.",,0.03181106969714165,0.01935180090367794
PAGP,Plains GP,,0.03181106969714165,0.05286813278992971
UNH,UnitedHealth Group,Health Care: Insurance and Managed Care,0.0306430384516716,0.00582394003868103
LOW,Lowe's Companies,,0.028679370880126953,0.14420674458961003
